Pilot,Description,Skill1,,Skill2,,Skill3,,Skill4,,image
Gathena,"A member of special force Azure Girls and also a part-time idol with endless vitality. Her taste in song names is a disaster but she would always spare no effort to accomplish the missions and concerts, but would behaves strangely after drinking.",Disassembling work,Dashes and disassembles the target. Damage increases with skill level. The target can not move and be attacked in 5s,Maintenance,Heals 5% HP and removes debuffs when takes damage. Interval: 5s,Giant swing,Melee attacks apply knock up and deal bonus damage. Minimum interval: 3s,Portable wrench,Removes allies debuffs. Heals 5% HP for them and increases speed every 4s when meets them,
Glumi,A prince of a country who left his home country for an unknown reason and became the second officer for Desert Pirate Catalina after their first encounter. He appears cold and mean but actually has a soft and warm heart.,Miracle,Deals damage and knocks up nearby enemies. Becomes invulnerable for 2.5s. ATK doubles,Unlimited Awakening,The reader.pilot's active skills can be used indefinitely. Gains SP after 3s,Moody,"Gains SP, increases ATK and DEF randomly when battle begins. The limit increases with skill level.",Machinist,Heals 0.75% HP per second. Cannot be stacked with other recover per second type effects.,https://i.imgur.com/FJGYWlv.png
Gritta,"A member of the ""Azure Girls"". She holds the nature of a thug girl at who's good at picking fights and making troubles, and is always bothered by the fact that the other two members are more popular than she is. A member of the ""Azure Girls"". She holds the nature of a thug girl who's good at picking fights and making troubles, and is always bothered by the fact that the other two members are more popular than she is.",Siege,All allies charge to siege 1 enemy. Damage increases as level ups,Teammates Go First,Other units assult the enemies first. ATK+15% for 5s. The effect doubles for male pilots,Need Protection,A Random male ally's HP+14% but becomes easier to be enemies' target Increases a random male ally's HP +14% and his chance to become the enemies' target,Coverage Tactics,Final damage+7% when fire to one target. Final damage +7% when shooting one target. Can be stacked.,
Guinevere,The exclusive medic for Team Fritz in OATH Company. She is a tender girl who has a crush on Becas but is too shy to confess her feelings to him.,Emergency Treatment,Heals 18% HP(For all allies). Increases DEF for a brief time,Focus,9% chance to block all attacks. Can be stacked.,Guardian Heart,"When destroyed, generates a large shield to protect allies. Heals 5% HP.",Incentive,Gains 10% SP for the whole team when in a battle. The effect can be stacked and set off by immunity effects.,https://i.imgur.com/FMhEyPq.png
Gwen Pullan,"A roboticist framed for a crime he did not commit, Gwen Pullan is currently on the run, and is known as ""the Traitor"". He pilots the Armored Gull, but isn't quite accustomed to it due to his own level of physical fitness. He is a righteous, passionate and extremely clever young man, but when it comes to interpersonal relationships...... let's just say he's a professional singleton.",Assault reaction device,Short CD armor and defensive action's CD drastically reduces for 12s.,Attachment modification,Parts level ups 3. Ignores the level cap,See through,I can see through your attack! DEF increases every1s. Max damage reduction: 33%,Engineer,Duplicates a piece of parts which level will be 6 times of this skill. Same parts' attributes can be stacked while effects can not.,
Haruka,"Code named Doll-05, a electronic humanoid that landed together with ""Infinity"" at the same time. After her birth, she was adopted by the Tiancheng Family. She is naughty and lovely, free from vulgarity, and cannot resist to cute things. A cat enthusiast.",Wingman Matrix,"Fires a group of drones to protect yourself for 2.4s. If there is no attack drone, drone shield can be used.",Missile Mastery,Missile and drone's ATK +21%.,Escape,Increases evasion possibility when moves. Mecha gains an extra escape command. CD decreases with skill level. Min: 10s,Drone Mastery,Drone's attack interval-15%.,https://i.imgur.com/QYgjNQT.png
Haya,"This sexy Rhein girl is introverted and shy, especially when she is in front of men, sometimes she can't even speak fluently. In order to fix that, she found herself a part-time job as a waitress in the Babylon Cafe.",Tipsy,Heals 30% for 10s and inflicts slow effect (only for your allies). Only one recovery effect can be activated,Pink Seduction,Activates when debut. ATK-50% for 3s for enemies. Attack effects can be stacked,Rejection,Knocks back and applys paralysis to the enemy. Minimum interval: 2s,Reversed Celebration,Launches 3 Revenge shells when being destroyed. Damage increases when skill level ups,https://i.imgur.com/lDTf84Q.png
Heidi,"Gathena's younger sister and the ""Azure Girl"" of the Rhein Federation's special forces, she also simultaneously performs as an idol. A staunch optimist, she accepts her fate as a warrior without complaint, but still harbors a deep appreciation for music and her comrades.",Drill cannon,Launches a super drill to deal huge fire damage and apply armor penetration (if there is a successful hit),Physical penetration,Bassic attacks ignore target's 33% DEF attribute,Spiral shell,24% chance for linear shells from main armament to deal 5 stages damage,弹药师,每2s为随机武器填充一发弹药单发武器装填速度加快14%,
Heinrich,"Her negotiating skills are as remarkable as her appearance and her nickname, Blood Thirsty Lady. Heinrich likes to stay behind the curtain, so people only know that she is the president of OATH and some of her legends .",Saturation Attack,"Launches 4x rockets, 3x missiles or 2x drones for 9 times",Missile Mastery,Missile and drone's ATK +21%.,Air Command,Increase chassis evasive abilities by +60% when moving; Team Aura: 40% chance to ignore aircraft's unique ability. Does not effect grenades and grenades cannot hit aircrafts. This effect can stack.,Remote Guidance,Turns a maximum of up to 5 rounds of missiles simultaneously into homing missiles. Increases an additional round every 2 levels. This also affects ally missiles.,https://i.imgur.com/pJLtq08.png
Hilda,"As the First Sergeant of the U.S.F and a descendant of Valhalla, this resolute and sharp sergeant has won herself the honorable title of White Hunter from the force. But in an operation, she was betrayed by colleagues and then got demoted. As s a fan of blues music and black-and-white movies, she is a nostalgic person at heart.",Justice Execution,All allies launch energy waves together. Damage increases with skill level and number of allies,Cross Counterattack,Activates when receiving melee attack. Blocks and knocks target back. Minimum interval: 4s,Mental tolerance,Becomes immune to paralysis and interference. The duration of stun-50%,EM Handcuffs,Adds EM handcuffs that can track enemies to melee attacks. Minimum activation interval: 1s,https://i.imgur.com/bA8FOJV.png
Hitomi,"A electronic humanoid who always looks cold only because she does not know other ways of expression. Being separated from the institute due to an accident, she only carried the combat module with her, which makes her quite confused about human emotions.",Telekinesis Swords,Conjures mutilple flying swords that surround Hitomi for 2s. Sword is based on the mecha she is piloting. Conjures normal type telekinesis swords if the mecha isn't equiped with a sword weapon.,Reorganization,Reforms mecha up to a total of 3 times when taking fatal damage. Heals 4.5% of max HP each time.,Telekinesis Blade,8% chance for melee attacks to conjure 3 blades surrounding Hitomi. Cooldown:1.5s.,Ultra,Mech’s ability cooldown -12%.,https://i.imgur.com/XU1J0tK.png
Hong Wu,"Director of the Kunlun Institution, known as the supreme warrior titled ""Warlord of the Far East"". He is also a member of the Phantom Cross. During the Purification War, he broke into the Vatican's army alone and managed to survive.",Cutting Air Field,Creates a sharp airstream to cut enemies. DEF+40%. Damage increases with skill level,Warrior,"When there are enemies around, the final damage taken-15%. Cannot be stacked.",Play It By Ear,40% chance to counter with a Throw. Can be stacked. 40% to get up immediately when being knocked down.,Warlord,40% chance to speed up the melee attacks. Melee damage dealt+0%.,https://i.imgur.com/mJDqfJM.png
Hong Xiaoyu,Daughter of Kunlun Institution's director who left home to become a member of the Phantom Cross. She is optimistic and loves all kinds of delicious foods.,Zhu Que's Dance,"Ultimate Zhu Que's Dance, becomes invincible. Damage increases with skill level",Warrior,"When there are enemies around, the final damage taken-15%. Cannot be stacked.",Increasing Power,Final damage+12% to enemies who have more than 50% HP,Flame Dance,"Gains an extra flame dance command to the mecha. CD shortens with skill level. When the level reaches the limit, CD is reduced to 5 seconds.",https://i.imgur.com/8ZapixR.png
Icey,Protagonist of the action game <ICEY>. She is temporarily transferred to this battlefield when the game author works overtime to repair it because she fails to guide the action according to the plot and causes the game to crash down.,Crystal Overload,Launches a huge wave to damage enemies. Damage increases with skill level,Coupling,Heals 2.5% HP only when Icey casts skills . recovers 500 points shield when you had a shield,Cleanse,6% chance for melee attacks to destroy shields and force fields and apply knockdown effect.,Tracing,Evades melee and fights back. CD: 6.3s. Cannot be stacked by other evasion skills.,https://i.imgur.com/5E778Ox.png
Igarashi Meimi,"Daughter of Prof. Igarashi, the designer of Kamui Series. Since childhood, she has shown her top-notch talent and neurotic character. She kept a ferret and is obsessed with anything related to mecha.",Triangle Attack,Releases triangle attacks. Damage increases with skill level,Mini Bombard,"When a drone returns or gets destroyed, fires missiles to attack. Damage increases with skill level.",Drone Recycle,Recycles drones will double its amount. Heals 1% HP. Cannot be stacked.,Elemental Affinity,Non-normal attacks damage+10%. Non normal attacks taken-10%,https://i.imgur.com/WmRnJEp.png
Issac,永远带着笑容，为人随和的家庭餐厅老板。但黑白两道通吃的本领怎么看也不像是普通人。自家的家庭餐厅是边境约定俗成的“安全屋”……果然有隐瞒着什么吧。,绝地求生,耐久最低的友军和自己Heals 40% for 4s，机师防御参数永久增加100,Fire Suppression,射击命中时，10%概率使目标动作指令冷却时间增加1秒，最多触发28次,视觉共享系统,全体光环：我方全体受伤时，短冷却格挡/防御/回避指令冷却加速28%，含战车冲刺，此效果有1s秒触发间隔,老兵,每有一个种类的武器（主炮，副炮，飞弹，超级武器，格斗 ），造成最终伤害提升6%,
Judith,"High priestess of the Vatican. She is cold, picky and obsessively tidy. The Scripture Pavilion is always the cleanest place under her supervision. Cleaning garbage is probably her only hobby.",Hurricane Eye,"A storm that sweeps everything, lasts for 3s, affected by tenacity and weight. Becomes invulnerable for 3s",Assimilation Scripture,Mechanical Vatican's pilots only. Gains 10.5% of all kinds of HP absorption. Can be stacked.,Neat freak,Bounces off both sides. Own: ATK & DEF +21% and becomes immune to debuffs for 2s . Interval: 3.5s,Perfectionism,"When 4 or more allies are alive, final damage+ 16%.",
Kamishiro Michiru,"A wandering musician whose travels have passed through many countries. A soft-spoken, cold beauty of few words... or at least on the surface. She wishes to live alone, but deep down she longs for companionship. Her feelings become quite intense when provoked, and her anger is truly terrifying to behold. She possesses outstanding fighting skills, seemingly from past military experience.",Magnetization,Grants a aura that can drive the fire to a target. Lasts 5s,Convergence tip,The interval for our side's consecutively used active skills-20%. Only for living units,Punch shell,Normal explosive attacks apply shocking waves. The effect improves with skill level,Resonance Barrier,Activates when the enemy casts an active skill. Whole team DEF+20% for 3s.,
Kaoru,"A famous idol of Hinomaru who goes by the stage name of the ""Electric Fairy"". She has a warm and sunny personality, and takes her work as an idol seriously, and is quite strict both with herself and others. Although adored by millions, she has a number of secrets to hide.",安可,吸引附近敌人注意力并制造音浪，持续5s,应援团,随机友方成为应援团，与薰一起制造音浪，升级提升强度,握手会,碰撞时弹开目标，目标攻击大幅降低，自己恢复耐久8%，触发间隔3s,谢幕,耐久低于40%和受致命伤时进入隐身状态，持续3s,https://i.imgur.com/7gJmRX0.png
Karas,A terrifying woman from the Northern Land. Her brilliant strategy can easily make her preys fall into the trap and they will only realize that the reaper's scythe is upon them until the very last moment.,Attraction·Repulsion,Releases powerful repulsion to kncok enemies back for 4.2s.,Time-Frozen Barrier,Gains a barrier that can pause the shell. Radius increases with skill level,Death Struggle,"Removes debuffs and reverts back to the position and HP 2s ago, when take fatal damage",Void Walk,Teleports a short-distance and temporarily improves defense. Minimum interval:3,https://i.imgur.com/tNOItvs.png
Kashina Souji,"Sworn to serve the Divine Empress as the sacred and impassable gatekeeper. His swordsmanship represents the absolute pinnacle of skill, and any who wish to steal the secrets of the Divine Empress and the palace soon meet their doom on the end of his blade. He is earnest and magnanimous in his dealings with others, although his long isolation from the outside world has made him a bit out of touch.",秘剑·水面雷光,全方位斩击！持续3s秒,Advanced Sword Arts,Permanently increases 1% melee damage when there is a successful melee hit. At most 50 times,Tranquility,Damage taken-10%. Becomes immune to burning. The duration of stun and interference-50%,Bang,Melee attack hit causes huge damage and ignores immunized Stuns for 1s. Triggers on each unit for only once.,
Kelly,"A Superintendent 1st Class from U.S.F and a supervisor of Hilda after her demotion. She is a lazy and careless officer who loves video games and anime. However, sometimes you can see a hint of sharpness from her eyes.",Disarm,All enemies cannot attack within 2.1s.,Secondary Armament Scatter,12% chance for the secondary armament to shoot in a 5-directional scattershot without consuming ammo.,First Aid,Heals 5% HP to an ally with the lowest HP every 6s.,Epidemic Laziness,ATK-21% briefly when enemies are nearby. Reduces SP slightly,https://i.imgur.com/0ZEIuoy.png
Kemuri,"Although she is quite familiar with the cruel rules of living in the Northern Land, she has not lost her humanity in killing. However, if anyone gets fooled by her looks and approaches her without permission, she will not give them an easy way out.",Attraction·Magnet,Releases strong magnets to keep enemies from escaping for 4.2s,Time-Lag Barrier,Gains a barrier that can reduce the shell speed and range throughout the battle. Radius increases with skill level,Death Struggle,"Removes debuffs and reverts back to the position and HP 2s ago, when take fatal damage",Void Walk,Teleports a short-distance and temporarily improves defense. Minimum interval:3,
Khaz,"The tactician for Rattlesnake Sandsea Thieves. He is a hot-blooded dummy who values friendship and loyalty a lot. Although he could only find a decent job with his strength, he still decided to earn his living by intelligence. He is clueless when it comes to girls and has been dumped over 100 times, and he is still a virgin.",Collision,All allies dash forward. Damage increases with skill level.,Fearless Assault,All allies launch themselves forward and become invulnerable for 2s.,Approach,DEF+20% briefly for a nearby ally,Formidable,"Activates when an enemy is killed. Group ATK+20% for 4s, the effect halves if the enemy is killed by a teammate.",https://i.imgur.com/oZ8YVkN.png
Kobayashi Maki,"A tactical student of ACE college who is good at data analysis and currently works as an intern in OATH company. Because she often provides free analysis services, she is very popular with various teams in the company.",Data Share,All reader.pilot attributes increase by 50. Can not be stacked；Shares one of her skills (except the co-reader.pilot) with all alliess. Success rate: 40%,Air Ability,Ignore aircraft's evasion. Secondary armament and missle ATK+14%,Full Evasion,Evades attacks once every 3.4s. The effect cannot be stacked with other 100% Evade effects.,Direct Hit,"Ranged attack have a 14% chance to ignore all shield, defense status, interception, blocks, barriers and defensive abilities. This effect cannot stack.",https://i.imgur.com/EzqDrtS.png
Kuon,A servant who is in charge of Oboro's daily life and mecha maintenance. Her family has been serving the Oboro Swordmaster since the Era of the Great Heaven Emperor. She is gentle but she will go blank sometimes. The mysterious rabbit that follows her around is named Lele.,Supply,Heals 16% HP and reloads ammo for a random ally.,Defense Talent,HP +14%,Damage Resistance,"Activates when receiving melee attack, DEF+50%. Minimum interval: 6s",Repair,Heals 5% HP for a random ally every 4s,
Layla,Captain of Rhein Federation's special force Azure Girls. She's a born optimist who enjoys pleasing everyone with funny jokes. Her past is a mystery and she seems to be an old friend of the Dark Knight.,Dual-gun rapid fire,The first two weapons rapidly fires for 2.1s,Critical Explosion,14% chance for single-shot weapons to quintuply spray without guidance. Mininum interval: 1.5s,Weakness Focus,Final damage+21% to the target that debuffed. (Exception: knock down and slow down),Elemental Affinity,Non-normal attacks damage+10%. Non normal attacks taken-10%,https://i.imgur.com/pJzgsEa.png
Lexxie,"The world's most famous e-sports commentator, now working as a Far East television station's announcer for the Mecha World Cup. Secretly an expert marksman. Her voice possesses a mysterious power, and it is said that can not only change the tide of battle, but has even caused games to lag at opportune moments.",Oriental Power,Heals 60% for 4s to the lowest HP unit but the unit will lose control,Toughness,Activates when HP is lower than 20%. Heals 25% for 5s.,Jinx it!,Unpredictable effects will happen. The ratio of buff and debuff ranges from 5:5 to 8:2.,The Chosen one,Activates on debut. The appointed opponent's defense and focus fire for 2s.,
Li Lin,"She is strong, tenaciousr and has a gift in leadership . She has a burning heart hiding under the ice-cold look.",Steel Flood,Launches artillery rockets towards where the reader.pilot is facing for 3.5s. Damage increases with skill level. Rockets can also activate Li Lin’s passive skills.,Converge,Commands allies to attack the same target Li Lin is attacking every 7s. Buff the entire team’s attack by ATK+7% briefly.,Endurance,Reduce final damage received by -28%. Value decreases by 1% each second.,Crossfire,Missile weapons that are not drones have 30% chance to call upon artillery support. Damage increases with skill level.,https://i.imgur.com/Db22ovE.png
Lilulu,The Vatican janitor. She works in Tech Eye which is under the management of Cynthia. She stopped growing up since she ate too much sugar.,Dangerous Game,Launches multiple blades to deal fire damage. Increases 1 blade for every 2 skill levels,Elemental Affinity,Non-normal attacks damage+10%. Non normal attacks taken-10%,Heat Saw,Launches a high-heat saw when injured. Interval: 3s.,Corrosion,Attacks (except normal attribute) halve target's DEF every 4.4s,
Linda,One of the six royal candidates for the Valhalla Union. The only survivor of the Tyrfing Kingdom's royal family. A girl who was said to be cursed by the Demon Sword.,Demon Sword Master,Doubles the range of melee weapons and ATK+ 0% throughout the battle. Cannot be stacked.,Defense Crush,5% chance to apply Armor Penetration and knockdown effect for melee attacks. Interval: 1.5s,Cold Blood,"ATK+ 1% every 1s, up to 100%.",Damage Resistance,"Activates when receiving melee attack, DEF+50%. Minimum interval: 6s",https://i.imgur.com/y5BI9t2.png
Liselotte,"A leader of the evil group Noisy Bat, who has been working hard for the goal of dominating the world. Her weapon is a modified Gatling gun with extremely poor accuracy.",Secondary Armament Rapid Fire,All secondary armaments fire at the same time for 2.1s. Increases the reload speed and doubles the scatter degree.,Dual-Gun Volley,Uses two identical secondary armaments to attack simultaneously. Affected weapon's attack + 9.6%.,Dadada,Increases large magazine weapon's attack. Each max capacity increases weapon attack by 1%.,Aggressive,ATK+ 20%. HP-5%.,https://i.imgur.com/gsx2VT2.png
Lulu,A member of the Rosy Tri-Stars team which is from G.O.E Mercenary Company. She has a keen sixth sense that saves the team from danger every time. She is fascinated with the love divination of tarot card.,Divination,"Applies random debuffs to all enemies, ignoring debuff resistance. Effect increases with skill level",Swoop In,Group Aura: The duration for the abnormality effect on enemy's status +14%.,Good Luck,"Activation rate of skills, chassis features and parts+4%.",Intuition,Activates when an enemy casts the active skill. Enters stealth for 1s and increases reload speed.,
Machiavelli,"The ancient prime minister who attached his soul to the dead housemaid, he was insidious and crafty. After knowing this era, ""he"" began to looking for his former master..",Doppelganger,Copies enemy's units for 4.8s. Boss is also affected. Clones an enemy unit for 4.8s. Boss is also affected,Curse of the Poor,The magazine of enemy who attacks Machiavelli will be cleared. Minimum interval: 7s  Destroys the magazine of the enemy who attacks Machiavelli. Minimum interval: 7s.,Scapegoat,"When receiving fatal damage, switches position with a random ally. Heals 10% HP and enters stealth. Upon taking fatal damage, switches position with a random ally. Heals 10% HP and enters stealth.",Intuition,Activates when an enemy casts the active skill. Enters stealth for 1s and increases reload speed. Activates when an enemy casts an active skill. Enters stealth for 1s and increases reload speed.,https://i.imgur.com/oCk0KvD.png
Mafia Kajita,"A tough guy who always shows up in all kinds of games’ events. With a perfect cosplay of a character who happens to look like him, Kajita now is the star in community. Actually he is the leader of a war hawk group in real life. Being a mercenary, he has reaped a considerable amount of money and lives. The hero of U.S.F, Wood is his acquaintance. Covered by mist, this past is known by few people.",Tit for Tat,Deals damage equal to 35% of current lost health to its current target. Ignores Tenacity effects.,A Murderous Glare,Female pilots that target Mafia Kajita will lose ATK -28% and have a chance to receives a random status condition.,SSR Weapon Master,"ATK +14%, magazine +14% for Rank 5 weapons.",Tips for ULT,Last Mech’s ability cooldown -21%.,https://i.imgur.com/BkvbOAj.png
Marilu,"A member of the Midnight Theater. She is a young girl with multiple personalities. Hiding under her shyness are some outstanding assassination skills. As one of the executioners in the organization, her codename is Death Clown.",Sniping,Fires powerful sniper shells for 3s.,Sniper,"When no enemies are nearby, final damage dealt+14%.",One Shot One Kill,15% chance for single shot weapon to fire a shell that ignores target's DEF,Night falls,Becomes Enters stealth on debut for 2.5s,https://i.imgur.com/H3y5RI2.png
Masato Akitsu,"A gentle, good-natured 15-year-old boy with a secret - his body also hosts another personality, the mad scientist Masaki Kihara. As he pilots the Zeorymer more and more frequently, Masato's personality is gradually being replaced by Dr. Kihara's as the king of hell descends to earth.",冥王,立即使用最强的机甲动作指令3秒内最终伤害增加15%,双重人格,每秒增加3%怒气，怒气全满时发动，木原正树人格觉醒，机师全参数提高120，驾驶志雷马时效果翻倍,我会赢的,耐久低于50%时触发，负面效果持续时间降低50%，Heals 35% HP，驾驶志雷马时额外回复15%耐久,Force,Damage taken decreases with lower HP. Up to 20%. Cannot be stacked.,
Matilda,"A Vatican Grand Knight. When she was young and was dying from the war, the Pope saved her accidentally and then reformed her. Since then, she has never left the Pope ever.",Death flash,Teleports continuously to evade attacks in 3s. Improves her tenacity,Robust,Activates after receiving 10 attacks. Increases stats and becomes immune to debuffs within 1s.,Force,Damage taken decreases with lower HP. Up to 20%. Cannot be stacked.,Vanish,Enters stealth for 1.5s when HP is lower than 35%. Heals 15% HP,https://i.imgur.com/jZrjLkC.png
Mephis,A Legendary bounty hunter with Level SS license. She captured countless evil people in her career and each story is epic and magnificent.,Lightning Speed,Random weapons fire for 2.1s. Firing speed+ 400%. Can be stacked with akimbo effect,Ace hunter,Faster weapon switch action. Attack interval-25%,Direct Hit,"Ranged attack have a 14% chance to ignore all shield, defense status, interception, blocks, barriers and defensive abilities. This effect cannot stack.",Reload Master,The reload speed of all weapons+14%.,https://i.imgur.com/BmIMsA5.png
Meruru,"A girl surrounded by mysteries. Besides food and cats, she also loves making fun of others and she always talks in a mocking way.",Brilliance,Applies random buffs for 3.5s,Robust,Activates after receiving 10 attacks. Increases stats and becomes immune to debuffs within 1s.,Taunt,Increases chance to become the enemy's target. HP +0%.,Emergency Refuge,Teleports when injured. ATK and DEF increase for a while. Interval: 5s,https://i.imgur.com/PUKuW98.png
Mia,"Member of Rosy Tri-Stars team from G.O.E Mercenary Company. As the main attacker, she is good at assaulting. Having zero interest in men, she fell in love with Oglala from the company.",High-Pitch Shock,Destroys all enemy shells and shields. Effect increases with skill level.,Assault,"Activates on debut, ATK+25% for 15s.",Healthy Condition,Final damage+12% when HP is higher than 50%,Full Absorption,Absorbs 10.5% of damage dealt into HP. Can be stacked.,https://i.imgur.com/p35jqAo.png
Midori,An employee of OATH Company. A glasses-wearing girl with a friendly personality. She treats everyone with care and warmth like a young sister next door. Her smile will melt your heart.,Supernova,Launches a supernova that can blocks missiles. Knocks up and down nearby enemies for 1s Launches a supernova that can block missiles. Knocks up and down nearby enemies for 1s,Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,Corrosion,Attacks (except normal attribute) halve target's DEF every 4.4s,Anti-stealth,Removes the enemies' stealth and targets them. Chance increases with skill level,https://i.imgur.com/fnCmlbn.png
Miku Himuro,"A young girl who pilots the Zeorymer together with Masato Akitsu and Masaki Kihara, Miku Himuro is good-natured and extremely skilled in battle. Her true identity is that of an artificial life-form created by Dr. Kihara: the Zeorymer's ""Dimensional Linkage System"".",次元屏障,回复15%耐久，展开无法被破坏的次元屏障抵御远程攻击，持续6秒,次元连结,冷却时间大于10秒的机甲指令，冷却加快10%，冥王攻击（次元连接攻击，烈·冥王攻击）冷却额外加快20%，不可叠加,动力源,移动速度提升50%，大幅提高转向和刹车灵敏度,紧急召回,耐久低于20%时进行一次空间跳跃回避攻击，同时Heals 35% HP,
Mira,红色短发赏金猎人，西莱茵人，协会内的多面手，帅气，任性，有主见，善于突袭的她往往在电光火石之间便解决了她的对手。,Rapid Fire,快速移动并使用前俩门武器连续射击，ATK & DEF +50% and becomes immune to debuffs for 3s,Akimbo,"When using 2 identical weapons simultaneously, ATK+0%.",Continuous Evasion,Gains extra melee evasion and high-speed evasion commands to mecha. Upgrade to increase CD.,快速反击,使用非攻击类机甲指令后，自身ATK+50% briefly，Reloads 20% bullets,
Mizuhara Risa,"Vice president of the student council at A.C.E. Academy. She has excellent academic performance and excels in data collection. She and Takahashi Natsumi are good friends. Having taken an interest in classical music, she wishes to be a musician just like Sawano Hiroko.",Rebound Shield,"Gains a shield that can bounce off shells for 5s, but cannot block melee attacks.",Rhythm Bubble,Launches a bubble that can bounce off shells or stun enemies every 3s.,Calm Down,Activates when HP is less than 50%. This reader.pilot’s shooting and reaction stats increase by 100,Ice Mastery,"Normal attacks (except fire attribute) apply freezing effect, Freeze attribute ATK and DEF+ 14%",https://i.imgur.com/z92uMTV.png
Mutsuki,Born with uncontrollable spiritual power and was treated and imprisoned as an alien for a long time by her own tribe. She has a strong heart underneath the weak appearance and loves her older sister very much.,Telekinesis Burst,Casts all enhanced passive skills.,Telekinesis throw,Bounces off nearby enemies when collides. Minimum interval: 7s. Affected by tenacity,Mental destroy,Triggers when takes fatal damage. Invincible but can not move in 2.1s. Mentality getting out of control will bombard enemies,Dense Ward,Creates a ward that can block bullets for 1.05s when takes damage. Interval: 4.9s,https://i.imgur.com/7nwcBsH.png
Nadia,"Nicknamed the Bride of Anubis, and the ace of the Anti-Vaca Union. An enthusiast of archaeology, she initially did not wish to be involved in the war, but the imploration of her tribe left her no choice.",Main Armament Rapid Fire,Reloads and fires all main armaments. Increases the first main armament's reloading and firing speed greatly for 1.5s.,Critical Dartle,14% chance for the main armament to fire freely. Minimum interval: 1s,Sniper,"When no enemies are nearby, final damage dealt+14%.",Calm Down,Activates when HP is less than 50%. This reader.pilot’s shooting and reaction stats increase by 100,https://i.imgur.com/Fw1DxRT.png
Nagase Aya,An infamous female gangster of a local gang in Far East. Some say there are thousands of people who work for her. She is quite bold and forthright and likes to drive recklessly with people she's fond of late at night. Her nickname is Midnight Queen.,Race Mode,Significantly boosted for 2.5s for all allies. Capable of evading bullets. Significantly boosts the team's Evasion for 2.5s. Can also evade bullets.,Drift Moment,Mech and tank's defense action cooldown time-21%. Evasion rate+21%,Acceleration Aura,Group Aura: Speed +5%. Becomes immune to slow effect except freezing,Dash,Collides with an enemy and deal damage. Stuns for 0.5s. Damage increases with speed and weight Collides with an enemy and deals damage. Stuns for 0.5s. Damage increases with speed and weight,https://i.imgur.com/7KUN10F.png
Nakira Karuma,"A ""ghost"" of the inner hall of the Divine Empress's palace and a wild and unrestrained young warrior. He has an outspoken and straightforward manner, disregards trifling matters, and has no interest in anything but combat. Surprisingly, he is extremely gentle towards small children, but always assumes a stoic manner out of the worry that he'll frighten them.",秘剑·彼岸花,全方位斩击！持续3s秒,Enrage,"Activates when takes damage. Increases all weapon attack by 1% permanently, at most 50 times",Enthusiasm,ATK+15%. Becomes immune to freezing effect. The duration of stun and interference-50%,Survival Instinct,Heals up to 2% HP per second. Recovery speed increases with lower HP. This effect cannot be stacked with recovery per second buffs.,
Nana,"Although it's hard to imagine from her appearance, Nana is a veteran explorer. Her relationship with the Mechanical Vatican runs quite deep, and she once served as a caving guide in the Vatican's forbidden areas. Nana has a sunny and optimistic disposition - no matter how dire the circumstances, she always survives with a smile.",Blasting site,Plants landmines in the fan-shaped range to the front. Numbers increase with skill level,Iron bone,"Upon taking 14 times of fatal damage, remains active, charges and removes all debuffs",Modified Man,"Becomes immune to freezing, burning and paralysis. Normal and explosive damage taken -0%",Huge Discharge,Releases electromagnetic stars when grabs an enemy. Damage increases with skill level,https://i.imgur.com/hOfkflO.png
Nanase Yuzuki,"Former scientist from Takahashi Jyuukou. She was sabotaged by her colleagues and her project Organic Mechanical eventually failed. Facing the questions from her supervisor and sarcasm from her colleagues, she chose to resign in anger.",Gravity Wave,The enemy will be unable to move nor perform melee attacks for 3s,Vitality,Activates after using a mecha action. Heals 1.5% HP.,Resistance Aura,Group Aura: Debuff resistance+ 20%. Applies only to living allies.,Anti-gravity,"Activates once every 3s. Normal, explosive, freeze and EM attacks apply knock up effect",
Nymeria,"A cold-hearted girl always emerging from the shadows. Rescued by Kaoru when grievously wounded, she promised to serve as Kaoru's guard for three years. No matter what Kaoru tries, nothing can unlock her frozen heart.",高周波匕首雨,高速投掷匕首攻击，ATK+50% for 3s,防身匕首,受近身攻击时，绕到敌方身后并投掷周波匕首进行反击，最小间隔3.2s秒，不能与必闪类技能叠加,警觉,每秒一次，3个身位内有隐身敌人时，概率解除目标隐身并短暂提升攻击力，升级提升概率,大难不死,倒地时防御大幅提升，回复少量耐久，升级提升防御和耐久回复量,
Oboro,Descendant of the Oboro Swordmaster from The Era of the Great Heaven Emperor. The strongest swordswoman in the Far East region. She has a strong sense of responsibility towards her younger sister and she travels around the world looking for a way to cure her sister.,Moon Wheel,Quickly approaches the enemy to attack. Damage increases with skill level,Foresight Cut,21% chance to block all frontal attacks. Can be stacked,Full Evasion,Evades attacks once every 3.4s. The effect cannot be stacked with other 100% Evade effects.,Unlimited Awakening,The reader.pilot's active skills can be used indefinitely. Gains SP after 3s,https://i.imgur.com/wHpqA2t.png
